epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,8673.38,0.39615,0.30971,0.87103,0.96588,0.97506,0.98618,0.93997,0.31563,0.17379,0.83986,0.00820189,0.00820189,0.00820189
61,8814.45,0.38931,0.30407,0.86722,0.94522,0.9809,0.98576,0.93879,0.31613,0.17148,0.83947,0.00814503,0.00814503,0.00814503
62,8950.96,0.38472,0.29712,0.86667,0.95021,0.97534,0.98304,0.93257,0.31611,0.17363,0.8409,0.00808752,0.00808752,0.00808752
63,9088.88,0.38724,0.30006,0.8674,0.97135,0.96851,0.98575,0.94118,0.31003,0.16675,0.83846,0.00802938,0.00802938,0.00802938
64,9226.01,0.38443,0.3004,0.86725,0.95133,0.97159,0.98463,0.93907,0.31153,0.17036,0.83951,0.0079706,0.0079706,0.0079706
65,9353.5,0.38486,0.29743,0.86776,0.94741,0.97696,0.9849,0.93898,0.30799,0.16982,0.83865,0.00791122,0.00791122,0.00791122
66,9489.42,0.38271,0.30183,0.86674,0.9631,0.97741,0.98362,0.93958,0.30808,0.16778,0.83776,0.00785124,0.00785124,0.00785124
67,9650.71,0.38406,0.29754,0.86597,0.95953,0.97758,0.98518,0.93921,0.31082,0.16927,0.83875,0.00779069,0.00779069,0.00779069
68,9784.67,0.38025,0.29204,0.86401,0.96922,0.97375,0.98424,0.94094,0.30718,0.16539,0.83645,0.00772956,0.00772956,0.00772956
69,9918.68,0.37623,0.29116,0.86353,0.954,0.97608,0.98684,0.9448,0.30705,0.1649,0.83726,0.00766789,0.00766789,0.00766789
70,10055.5,0.37766,0.29105,0.86438,0.95485,0.97938,0.98449,0.94157,0.30737,0.16649,0.83765,0.00760568,0.00760568,0.00760568
71,10188.9,0.37873,0.29129,0.86587,0.96516,0.97317,0.98668,0.94208,0.30649,0.1645,0.83682,0.00754296,0.00754296,0.00754296
