epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,26774.6,0.27087,0.19812,0.82176,0.95786,0.96162,0.98263,0.96476,0.20278,0.10672,0.76957,0.0079706,0.0079706,0.0079706
65,27175.7,0.27244,0.19807,0.82299,0.95877,0.96109,0.98241,0.96394,0.20268,0.10664,0.76955,0.00791122,0.00791122,0.00791122
66,27573.3,0.27164,0.19683,0.82186,0.95128,0.96835,0.98243,0.96462,0.2026,0.1066,0.76951,0.00785124,0.00785124,0.00785124
67,27975.4,0.26861,0.19545,0.82102,0.95347,0.96614,0.98252,0.96457,0.20244,0.10647,0.76948,0.00779069,0.00779069,0.00779069
68,28424.3,0.26843,0.19458,0.82081,0.95,0.96871,0.98255,0.96443,0.20226,0.10638,0.76945,0.00772956,0.00772956,0.00772956
69,28839.5,0.26923,0.19592,0.82206,0.9606,0.95794,0.98223,0.96476,0.20214,0.10635,0.76943,0.00766789,0.00766789,0.00766789
70,29252.2,0.26839,0.19502,0.82099,0.95001,0.9692,0.98217,0.96428,0.20529,0.10691,0.77013,0.00760568,0.00760568,0.00760568
71,29657.5,0.26721,0.19285,0.82111,0.9511,0.96698,0.98211,0.96438,0.20524,0.1069,0.77013,0.00754296,0.00754296,0.00754296
72,30062.6,0.26707,0.19413,0.821,0.95899,0.95959,0.98225,0.96479,0.20515,0.10703,0.77012,0.00747973,0.00747973,0.00747973
73,30468.3,0.26662,0.19471,0.82144,0.95858,0.96005,0.98215,0.96469,0.20508,0.10713,0.77009,0.00741601,0.00741601,0.00741601
74,30866.7,0.26454,0.19267,0.82067,0.95961,0.95918,0.98205,0.96411,0.20483,0.1072,0.77005,0.00735181,0.00735181,0.00735181
75,31310.6,0.26355,0.18992,0.82009,0.96001,0.95895,0.9822,0.96334,0.20473,0.10719,0.77001,0.00728717,0.00728717,0.00728717
76,31717.6,0.26313,0.19142,0.81985,0.96069,0.95713,0.98242,0.96389,0.20516,0.10722,0.77009,0.00722208,0.00722208,0.00722208
