epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,7817.92,1.013,0.41949,1.14799,0.99129,0.99387,0.99461,0.73952,1.03024,0.37823,1.16937,0.00836841,0.00836841,0.00836841
58,7954.46,1.0107,0.42426,1.13956,0.99127,0.99194,0.99457,0.74271,1.02965,0.38189,1.13729,0.00831359,0.00831359,0.00831359
59,8092.47,1.01297,0.42149,1.13666,0.99415,0.98845,0.99446,0.74546,1.02826,0.38599,1.128,0.00825808,0.00825808,0.00825808
60,8228.82,1.00903,0.42008,1.14344,0.99068,0.99017,0.99456,0.73777,1.03649,0.37867,1.17645,0.00820189,0.00820189,0.00820189
61,8365,0.99752,0.41966,1.13309,0.99299,0.98925,0.9946,0.74634,1.02964,0.37682,1.13974,0.00814503,0.00814503,0.00814503
62,8503.41,1.00558,0.41574,1.12771,0.99352,0.99069,0.99461,0.74021,1.02791,0.37442,1.14806,0.00808752,0.00808752,0.00808752
63,8639.64,1.00198,0.41806,1.13176,0.99416,0.99102,0.99439,0.74401,1.03494,0.3733,1.15002,0.00802938,0.00802938,0.00802938
64,8776,1.00588,0.41422,1.13846,0.99384,0.99185,0.9942,0.74119,1.02664,0.37032,1.15205,0.0079706,0.0079706,0.0079706
65,8912.61,0.99981,0.41363,1.13544,0.99243,0.99243,0.99476,0.74155,1.0298,0.37385,1.16174,0.00791122,0.00791122,0.00791122
66,9048.76,0.99783,0.41411,1.14481,0.99358,0.9908,0.99457,0.74278,1.02538,0.37573,1.18563,0.00785124,0.00785124,0.00785124
67,9185.05,1.00387,0.41054,1.1411,0.99319,0.9936,0.99488,0.74463,1.02932,0.37153,1.16833,0.00779069,0.00779069,0.00779069
68,9323.11,1.00951,0.41001,1.1474,0.99295,0.98311,0.99433,0.74387,1.0248,0.37858,1.16564,0.00772956,0.00772956,0.00772956
69,9459.46,0.9896,0.40921,1.1329,0.99444,0.99127,0.9949,0.74632,1.02416,0.36256,1.16005,0.00766789,0.00766789,0.00766789
70,9597.2,0.99607,0.41151,1.13708,0.99399,0.9901,0.99481,0.74344,1.02679,0.36394,1.15687,0.00760568,0.00760568,0.00760568
71,9733.57,0.99209,0.40862,1.13565,0.99543,0.98894,0.99473,0.73982,1.02878,0.36574,1.15714,0.00754296,0.00754296,0.00754296
72,9869.96,0.99209,0.40975,1.13257,0.9947,0.98545,0.99474,0.74174,1.02578,0.36588,1.1536,0.00747973,0.00747973,0.00747973
73,10006.2,0.98666,0.40666,1.13347,0.99128,0.99202,0.99464,0.74665,1.02503,0.36592,1.16043,0.00741601,0.00741601,0.00741601
74,10142.3,0.98197,0.40723,1.12752,0.9959,0.99067,0.99485,0.74745,1.02748,0.36248,1.15175,0.00735181,0.00735181,0.00735181
75,10280.3,0.9931,0.40642,1.13523,0.99417,0.99173,0.99486,0.74741,1.0228,0.3627,1.16624,0.00728717,0.00728717,0.00728717
76,10416.8,0.97495,0.40017,1.12414,0.99221,0.98952,0.9947,0.74449,1.02608,0.36228,1.17106,0.00722208,0.00722208,0.00722208
77,10553.3,0.97695,0.40062,1.12696,0.9911,0.98952,0.99479,0.74107,1.02677,0.36109,1.16194,0.00715656,0.00715656,0.00715656
78,10689.5,0.9741,0.40102,1.12961,0.99492,0.98836,0.99473,0.74479,1.02475,0.35782,1.17373,0.00709064,0.00709064,0.00709064
79,10827.4,0.96984,0.39552,1.12899,0.99116,0.9936,0.99485,0.7478,1.02068,0.35772,1.15796,0.00702432,0.00702432,0.00702432
80,10964.3,0.97169,0.39853,1.1388,0.99301,0.9916,0.9948,0.74378,1.03089,0.3613,1.19877,0.00695763,0.00695763,0.00695763
81,11100.7,0.96858,0.39317,1.12399,0.99417,0.99225,0.99475,0.7484,1.02671,0.35461,1.1752,0.00689058,0.00689058,0.00689058
82,11237.3,0.97009,0.39516,1.12459,0.99338,0.99243,0.99473,0.74586,1.02774,0.35828,1.17483,0.00682318,0.00682318,0.00682318
83,11377.1,0.9687,0.39102,1.13149,0.99532,0.99024,0.99473,0.74799,1.0277,0.35733,1.18498,0.00675546,0.00675546,0.00675546
84,11515.9,0.95882,0.39095,1.11872,0.99565,0.99069,0.99479,0.74667,1.02827,0.3546,1.17598,0.00668743,0.00668743,0.00668743
85,11652,0.96308,0.39204,1.1259,0.99419,0.9901,0.99477,0.74769,1.0283,0.35497,1.17674,0.0066191,0.0066191,0.0066191
